hand,rank1,rank2,suited,scenario,gto_action
A4s,14,4,1,SB_RFI,raise
A4s,14,4,1,BB_vs_RFI,raise
A4s,14,4,1,SB_vs_3bet,raise
A4o,14,4,0,SB_RFI,raise
A4o,14,4,0,BB_vs_RFI,fold
A4o,14,4,0,SB_vs_3bet,fold
A3s,14,3,1,SB_RFI,raise
A3s,14,3,1,BB_vs_RFI,raise
A3s,14,3,1,SB_vs_3bet,raise
A3o,14,3,0,SB_RFI,raise
A3o,14,3,0,BB_vs_RFI,fold
A3o,14,3,0,SB_vs_3bet,fold
A2s,14,2,1,SB_RFI,raise
A2s,14,2,1,BB_vs_RFI,raise
A2s,14,2,1,SB_vs_3bet,raise
A2o,14,2,0,SB_RFI,raise
A2o,14,2,0,BB_vs_RFI,fold
A2o,14,2,0,SB_vs_3bet,fold
KK,13,13,0,SB_RFI,raise
KK,13,13,0,BB_vs_RFI,raise
KK,13,13,0,SB_vs_3bet,raise
KQs,13,12,1,SB_RFI,raise
KQs,13,12,1,BB_vs_RFI,raise
KQs,13,12,1,SB_vs_3bet,call
KQo,13,12,0,SB_RFI,raise
KQo,13,12,0,BB_vs_RFI,call
KQo,13,12,0,SB_vs_3bet,call
KJs,13,11,1,SB_RFI,raise
KJs,13,11,1,BB_vs_RFI,call
KJs,13,11,1,SB_vs_3bet,call
KJo,13,11,0,SB_RFI,raise
KJo,13,11,0,BB_vs_RFI,call
KJo,13,11,0,SB_vs_3bet,call
KTs,13,10,1,SB_RFI,raise
KTs,13,10,1,BB_vs_RFI,call
KTs,13,10,1,SB_vs_3bet,call
KTo,13,10,0,SB_RFI,raise
KTo,13,10,0,BB_vs_RFI,call
KTo,13,10,0,SB_vs_3bet,fold
K9s,13,9,1,SB_RFI,raise
K9s,13,9,1,BB_vs_RFI,call
K9s,13,9,1,SB_vs_3bet,fold
K9o,13,9,0,SB_RFI,raise
K9o,13,9,0,BB_vs_RFI,call
K9o,13,9,0,SB_vs_3bet,fold
K8s,13,8,1,SB_RFI,raise
K8s,13,8,1,BB_vs_RFI,call
K8s,13,8,1,SB_vs_3bet,fold
K8o,13,8,0,SB_RFI,raise
K8o,13,8,0,BB_vs_RFI,fold
K8o,13,8,0,SB_vs_3bet,fold
K7s,13,7,1,SB_RFI,raise
K7s,13,7,1,BB_vs_RFI,call
K7s,13,7,1,SB_vs_3bet,fold
K7o,13,7,0,SB_RFI,raise
K7o,13,7,0,BB_vs_RFI,fold
K7o,13,7,0,SB_vs_3bet,fold
K6s,13,6,1,SB_RFI,raise
K6s,13,6,1,BB_vs_RFI,call
K6s,13,6,1,SB_vs_3bet,fold
K6o,13,6,0,SB_RFI,raise
K6o,13,6,0,BB_vs_RFI,fold
K6o,13,6,0,SB_vs_3bet,fold
K5s,13,5,1,SB_RFI,raise
K5s,13,5,1,BB_vs_RFI,call
K5s,13,5,1,SB_vs_3bet,fold
K5o,13,5,0,SB_RFI,raise
K5o,13,5,0,BB_vs_RFI,fold
K5o,13,5,0,SB_vs_3bet,fold
K4s,13,4,1,SB_RFI,raise
K4s,13,4,1,BB_vs_RFI,fold
K4s,13,4,1,SB_vs_3bet,fold
K4o,13,4,0,SB_RFI,raise
K4o,13,4,0,BB_vs_RFI,fold
K4o,13,4,0,SB_vs_3bet,fold
K3s,13,3,1,SB_RFI,raise
K3s,13,3,1,BB_vs_RFI,fold
K3s,13,3,1,SB_vs_3bet,fold
K3o,13,3,0,SB_RFI,raise
K3o,13,3,0,BB_vs_RFI,fold
K3o,13,3,0,SB_vs_3bet,fold
K2s,13,2,1,SB_RFI,raise
K2s,13,2,1,BB_vs_RFI,fold
K2s,13,2,1,SB_vs_3bet,fold
K2o,13,2,0,SB_RFI,raise
K2o,13,2,0,BB_vs_RFI,fold
K2o,13,2,0,SB_vs_3bet,fold
QQ,12,12,0,SB_RFI,raise
QQ,12,12,0,BB_vs_RFI,raise
QQ,12,12,0,SB_vs_3bet,call
QJs,12,11,1,SB_RFI,raise
QJs,12,11,1,BB_vs_RFI,call
QJs,12,11,1,SB_vs_3bet,call
QJo,12,11,0,SB_RFI,raise
QJo,12,11,0,BB_vs_RFI,call
QJo,12,11,0,SB_vs_3bet,call
QTs,12,10,1,SB_RFI,raise
QTs,12,10,1,BB_vs_RFI,call
QTs,12,10,1,SB_vs_3bet,call
QTo,12,10,0,SB_RFI,raise
QTo,12,10,0,BB_vs_RFI,call
QTo,12,10,0,SB_vs_3bet,fold
Q9s,12,9,1,SB_RFI,raise
Q9s,12,9,1,BB_vs_RFI,call
Q9s,12,9,1,SB_vs_3bet,call
Q9o,12,9,0,SB_RFI,raise
Q9o,12,9,0,BB_vs_RFI,call
Q9o,12,9,0,SB_vs_3bet,fold
Q8s,12,8,1,SB_RFI,raise
Q8s,12,8,1,BB_vs_RFI,call
Q8s,12,8,1,SB_vs_3bet,fold
Q8o,12,8,0,SB_RFI,raise
Q8o,12,8,0,BB_vs_RFI,fold
Q8o,12,8,0,SB_vs_3bet,fold
Q7s,12,7,1,SB_RFI,raise
Q7s,12,7,1,BB_vs_RFI,call
Q7s,12,7,1,SB_vs_3bet,fold
Q7o,12,7,0,SB_RFI,raise
Q7o,12,7,0,BB_vs_RFI,fold
Q7o,12,7,0,SB_vs_3bet,fold
Q6s,12,6,1,SB_RFI,raise
Q6s,12,6,1,BB_vs_RFI,fold
Q6s,12,6,1,SB_vs_3bet,fold
Q6o,12,6,0,SB_RFI,raise
Q6o,12,6,0,BB_vs_RFI,fold
Q6o,12,6,0,SB_vs_3bet,fold
Q5s,12,5,1,SB_RFI,raise
Q5s,12,5,1,BB_vs_RFI,fold
Q5s,12,5,1,SB_vs_3bet,fold
Q5o,12,5,0,SB_RFI,raise
Q5o,12,5,0,BB_vs_RFI,fold
Q5o,12,5,0,SB_vs_3bet,fold
Q4s,12,4,1,SB_RFI,raise
Q4s,12,4,1,BB_vs_RFI,fold
Q4s,12,4,1,SB_vs_3bet,fold
Q4o,12,4,0,SB_RFI,raise
Q4o,12,4,0,BB_vs_RFI,fold
Q4o,12,4,0,SB_vs_3bet,fold
Q3s,12,3,1,SB_RFI,raise
Q3s,12,3,1,BB_vs_RFI,fold
Q3s,12,3,1,SB_vs_3bet,fold
Q3o,12,3,0,SB_RFI,raise
Q3o,12,3,0,BB_vs_RFI,fold
Q3o,12,3,0,SB_vs_3bet,fold
Q2s,12,2,1,SB_RFI,raise
Q2s,12,2,1,BB_vs_RFI,fold
Q2s,12,2,1,SB_vs_3bet,fold
Q2o,12,2,0,SB_RFI,raise
Q2o,12,2,0,BB_vs_RFI,fold
Q2o,12,2,0,SB_vs_3bet,fold
JJ,11,11,0,SB_RFI,raise
JJ,11,11,0,BB_vs_RFI,raise
JJ,11,11,0,SB_vs_3bet,call
JTs,11,10,1,SB_RFI,raise
JTs,11,10,1,BB_vs_RFI,call
JTs,11,10,1,SB_vs_3bet,call
JTo,11,10,0,SB_RFI,raise
JTo,11,10,0,BB_vs_RFI,call
JTo,11,10,0,SB_vs_3bet,fold
J9s,11,9,1,SB_RFI,raise
J9s,11,9,1,BB_vs_RFI,call
J9s,11,9,1,SB_vs_3bet,call
J9o,11,9,0,SB_RFI,raise
J9o,11,9,0,BB_vs_RFI,call
J9o,11,9,0,SB_vs_3bet,fold
J8s,11,8,1,SB_RFI,raise
J8s,11,8,1,BB_vs_RFI,call
J8s,11,8,1,SB_vs_3bet,call
J8o,11,8,0,SB_RFI,raise
J8o,11,8,0,BB_vs_RFI,call
J8o,11,8,0,SB_vs_3bet,fold
J7s,11,7,1,SB_RFI,raise
J7s,11,7,1,BB_vs_RFI,call
J7s,11,7,1,SB_vs_3bet,fold
J7o,11,7,0,SB_RFI,raise
J7o,11,7,0,BB_vs_RFI,fold
J7o,11,7,0,SB_vs_3bet,fold
J6s,11,6,1,SB_RFI,raise
J6s,11,6,1,BB_vs_RFI,fold
J6s,11,6,1,SB_vs_3bet,fold
J6o,11,6,0,SB_RFI,raise
J6o,11,6,0,BB_vs_RFI,fold
J6o,11,6,0,SB_vs_3bet,fold
J5s,11,5,1,SB_RFI,raise
J5s,11,5,1,BB_vs_RFI,fold
J5s,11,5,1,SB_vs_3bet,fold
J5o,11,5,0,SB_RFI,raise
J5o,11,5,0,BB_vs_RFI,fold
J5o,11,5,0,SB_vs_3bet,fold
J4s,11,4,1,SB_RFI,raise
J4s,11,4,1,BB_vs_RFI,fold
J4s,11,4,1,SB_vs_3bet,fold
J4o,11,4,0,SB_RFI,raise
J4o,11,4,0,BB_vs_RFI,fold
J4o,11,4,0,SB_vs_3bet,fold
J3s,11,3,1,SB_RFI,raise
J3s,11,3,1,BB_vs_RFI,fold
J3s,11,3,1,SB_vs_3bet,fold
J3o,11,3,0,SB_RFI,raise
J3o,11,3,0,BB_vs_RFI,fold
J3o,11,3,0,SB_vs_3bet,fold
J2s,11,2,1,SB_RFI,raise
J2s,11,2,1,BB_vs_RFI,fold
J2s,11,2,1,SB_vs_3bet,fold
J2o,11,2,0,SB_RFI,raise
J2o,11,2,0,BB_vs_RFI,fold
J2o,11,2,0,SB_vs_3bet,fold
TT,10,10,0,SB_RFI,raise
TT,10,10,0,BB_vs_RFI,call
TT,10,10,0,SB_vs_3bet,call
T9s,10,9,1,SB_RFI,raise
T9s,10,9,1,BB_vs_RFI,call
T9s,10,9,1,SB_vs_3bet,call
T9o,10,9,0,SB_RFI,raise
T9o,10,9,0,BB_vs_RFI,call
T9o,10,9,0,SB_vs_3bet,fold
T8s,10,8,1,SB_RFI,raise
T8s,10,8,1,BB_vs_RFI,call
T8s,10,8,1,SB_vs_3bet,call
T8o,10,8,0,SB_RFI,raise
T8o,10,8,0,BB_vs_RFI,call
T8o,10,8,0,SB_vs_3bet,fold
T7s,10,7,1,SB_RFI,raise
T7s,10,7,1,BB_vs_RFI,call
T7s,10,7,1,SB_vs_3bet,fold
T7o,10,7,0,SB_RFI,raise
T7o,10,7,0,BB_vs_RFI,call
T7o,10,7,0,SB_vs_3bet,fold
T6s,10,6,1,SB_RFI,raise
T6s,10,6,1,BB_vs_RFI,call
T6s,10,6,1,SB_vs_3bet,fold
T6o,10,6,0,SB_RFI,raise
T6o,10,6,0,BB_vs_RFI,fold
T6o,10,6,0,SB_vs_3bet,fold
T5s,10,5,1,SB_RFI,raise
T5s,10,5,1,BB_vs_RFI,fold
T5s,10,5,1,SB_vs_3bet,fold
T5o,10,5,0,SB_RFI,raise
T5o,10,5,0,BB_vs_RFI,fold
T5o,10,5,0,SB_vs_3bet,fold
T4s,10,4,1,SB_RFI,raise
T4s,10,4,1,BB_vs_RFI,fold
T4s,10,4,1,SB_vs_3bet,fold
T4o,10,4,0,SB_RFI,raise
T4o,10,4,0,BB_vs_RFI,fold
T4o,10,4,0,SB_vs_3bet,fold
T3s,10,3,1,SB_RFI,raise
T3s,10,3,1,BB_vs_RFI,fold
T3s,10,3,1,SB_vs_3bet,fold
T3o,10,3,0,SB_RFI,raise
T3o,10,3,0,BB_vs_RFI,fold
T3o,10,3,0,SB_vs_3bet,fold
T2s,10,2,1,SB_RFI,raise
T2s,10,2,1,BB_vs_RFI,fold
T2s,10,2,1,SB_vs_3bet,fold
T2o,10,2,0,SB_RFI,raise
T2o,10,2,0,BB_vs_RFI,fold
T2o,10,2,0,SB_vs_3bet,fold
99,9,9,0,SB_RFI,raise
99,9,9,0,BB_vs_RFI,call
99,9,9,0,SB_vs_3bet,call
98s,9,8,1,SB_RFI,raise
98s,9,8,1,BB_vs_RFI,call
98s,9,8,1,SB_vs_3bet,call
98o,9,8,0,SB_RFI,raise
98o,9,8,0,BB_vs_RFI,call
98o,9,8,0,SB_vs_3bet,fold
97s,9,7,1,SB_RFI,raise
97s,9,7,1,BB_vs_RFI,call
97s,9,7,1,SB_vs_3bet,call
97o,9,7,0,SB_RFI,raise
97o,9,7,0,BB_vs_RFI,call
97o,9,7,0,SB_vs_3bet,fold
96s,9,6,1,SB_RFI,raise
96s,9,6,1,BB_vs_RFI,call
96s,9,6,1,SB_vs_3bet,fold
96o,9,6,0,SB_RFI,raise
96o,9,6,0,BB_vs_RFI,fold
96o,9,6,0,SB_vs_3bet,fold
95s,9,5,1,SB_RFI,raise
95s,9,5,1,BB_vs_RFI,fold
95s,9,5,1,SB_vs_3bet,fold
95o,9,5,0,SB_RFI,fold
95o,9,5,0,BB_vs_RFI,fold
95o,9,5,0,SB_vs_3bet,fold
94s,9,4,1,SB_RFI,raise
94s,9,4,1,BB_vs_RFI,fold
94s,9,4,1,SB_vs_3bet,fold
94o,9,4,0,SB_RFI,fold
94o,9,4,0,BB_vs_RFI,fold
94o,9,4,0,SB_vs_3bet,fold
93s,9,3,1,SB_RFI,raise
93s,9,3,1,BB_vs_RFI,fold
93s,9,3,1,SB_vs_3bet,fold
93o,9,3,0,SB_RFI,fold
93o,9,3,0,BB_vs_RFI,fold
93o,9,3,0,SB_vs_3bet,fold
92s,9,2,1,SB_RFI,raise
92s,9,2,1,BB_vs_RFI,fold
92s,9,2,1,SB_vs_3bet,fold
92o,9,2,0,SB_RFI,fold
92o,9,2,0,BB_vs_RFI,fold
92o,9,2,0,SB_vs_3bet,fold
88,8,8,0,SB_RFI,raise
88,8,8,0,BB_vs_RFI,call
88,8,8,0,SB_vs_3bet,call
87s,8,7,1,SB_RFI,raise
87s,8,7,1,BB_vs_RFI,call
87s,8,7,1,SB_vs_3bet,fold
87o,8,7,0,SB_RFI,raise
87o,8,7,0,BB_vs_RFI,call
87o,8,7,0,SB_vs_3bet,fold
86s,8,6,1,SB_RFI,raise
86s,8,6,1,BB_vs_RFI,call
86s,8,6,1,SB_vs_3bet,fold
86o,8,6,0,SB_RFI,fold
86o,8,6,0,BB_vs_RFI,fold
86o,8,6,0,SB_vs_3bet,fold
85s,8,5,1,SB_RFI,raise
85s,8,5,1,BB_vs_RFI,call
85s,8,5,1,SB_vs_3bet,fold
85o,8,5,0,SB_RFI,fold
85o,8,5,0,BB_vs_RFI,fold
85o,8,5,0,SB_vs_3bet,fold
84s,8,4,1,SB_RFI,raise
84s,8,4,1,BB_vs_RFI,fold
84s,8,4,1,SB_vs_3bet,fold
84o,8,4,0,SB_RFI,fold
84o,8,4,0,BB_vs_RFI,fold
84o,8,4,0,SB_vs_3bet,fold
83s,8,3,1,SB_RFI,raise
83s,8,3,1,BB_vs_RFI,fold
83s,8,3,1,SB_vs_3bet,fold
83o,8,3,0,SB_RFI,fold
83o,8,3,0,BB_vs_RFI,fold
83o,8,3,0,SB_vs_3bet,fold
82s,8,2,1,SB_RFI,raise
82s,8,2,1,BB_vs_RFI,fold
82s,8,2,1,SB_vs_3bet,fold
82o,8,2,0,SB_RFI,fold
82o,8,2,0,BB_vs_RFI,fold
82o,8,2,0,SB_vs_3bet,fold
77,7,7,0,SB_RFI,raise
77,7,7,0,BB_vs_RFI,call
77,7,7,0,SB_vs_3bet,call
76s,7,6,1,SB_RFI,raise
76s,7,6,1,BB_vs_RFI,call
76s,7,6,1,SB_vs_3bet,fold
76o,7,6,0,SB_RFI,fold
76o,7,6,0,BB_vs_RFI,fold
76o,7,6,0,SB_vs_3bet,fold
75s,7,5,1,SB_RFI,raise
75s,7,5,1,BB_vs_RFI,call
75s,7,5,1,SB_vs_3bet,fold
75o,7,5,0,SB_RFI,fold
75o,7,5,0,BB_vs_RFI,fold
75o,7,5,0,SB_vs_3bet,fold
74s,7,4,1,SB_RFI,raise
74s,7,4,1,BB_vs_RFI,call
74s,7,4,1,SB_vs_3bet,fold
74o,7,4,0,SB_RFI,fold
74o,7,4,0,BB_vs_RFI,fold
74o,7,4,0,SB_vs_3bet,fold
73s,7,3,1,SB_RFI,raise
73s,7,3,1,BB_vs_RFI,fold
73s,7,3,1,SB_vs_3bet,fold
73o,7,3,0,SB_RFI,fold
73o,7,3,0,BB_vs_RFI,fold
73o,7,3,0,SB_vs_3bet,fold
72s,7,2,1,SB_RFI,raise
72s,7,2,1,BB_vs_RFI,fold
72s,7,2,1,SB_vs_3bet,fold
72o,7,2,0,SB_RFI,fold
72o,7,2,0,BB_vs_RFI,fold
72o,7,2,0,SB_vs_3bet,fold
66,6,6,0,SB_RFI,raise
66,6,6,0,BB_vs_RFI,call
66,6,6,0,SB_vs_3bet,fold
65s,6,5,1,SB_RFI,raise
65s,6,5,1,BB_vs_RFI,call
65s,6,5,1,SB_vs_3bet,fold
65o,6,5,0,SB_RFI,fold
65o,6,5,0,BB_vs_RFI,fold
65o,6,5,0,SB_vs_3bet,fold
64s,6,4,1,SB_RFI,raise
64s,6,4,1,BB_vs_RFI,call
64s,6,4,1,SB_vs_3bet,fold
64o,6,4,0,SB_RFI,fold
64o,6,4,0,BB_vs_RFI,fold
64o,6,4,0,SB_vs_3bet,fold
63s,6,3,1,SB_RFI,raise
63s,6,3,1,BB_vs_RFI,fold
63s,6,3,1,SB_vs_3bet,fold
63o,6,3,0,SB_RFI,fold
63o,6,3,0,BB_vs_RFI,fold
63o,6,3,0,SB_vs_3bet,fold
62s,6,2,1,SB_RFI,raise
62s,6,2,1,BB_vs_RFI,fold
62s,6,2,1,SB_vs_3bet,fold
62o,6,2,0,SB_RFI,fold
62o,6,2,0,BB_vs_RFI,fold
62o,6,2,0,SB_vs_3bet,fold
55,5,5,0,SB_RFI,raise
55,5,5,0,BB_vs_RFI,call
55,5,5,0,SB_vs_3bet,fold
54s,5,4,1,SB_RFI,raise
54s,5,4,1,BB_vs_RFI,call
54s,5,4,1,SB_vs_3bet,fold
54o,5,4,0,SB_RFI,fold
54o,5,4,0,BB_vs_RFI,fold
54o,5,4,0,SB_vs_3bet,fold
53s,5,3,1,SB_RFI,raise
53s,5,3,1,BB_vs_RFI,call
53s,5,3,1,SB_vs_3bet,fold
53o,5,3,0,SB_RFI,fold
53o,5,3,0,BB_vs_RFI,fold
53o,5,3,0,SB_vs_3bet,fold
52s,5,2,1,SB_RFI,raise
52s,5,2,1,BB_vs_RFI,fold
52s,5,2,1,SB_vs_3bet,fold
52o,5,2,0,SB_RFI,fold
52o,5,2,0,BB_vs_RFI,fold
52o,5,2,0,SB_vs_3bet,fold
44,4,4,0,SB_RFI,raise
44,4,4,0,BB_vs_RFI,call
44,4,4,0,SB_vs_3bet,fold
43s,4,3,1,SB_RFI,raise
43s,4,3,1,BB_vs_RFI,fold
43s,4,3,1,SB_vs_3bet,fold
43o,4,3,0,SB_RFI,fold
43o,4,3,0,BB_vs_RFI,fold
43o,4,3,0,SB_vs_3bet,fold
42s,4,2,1,SB_RFI,raise
42s,4,2,1,BB_vs_RFI,fold
42s,4,2,1,SB_vs_3bet,fold
42o,4,2,0,SB_RFI,fold
42o,4,2,0,BB_vs_RFI,fold
42o,4,2,0,SB_vs_3bet,fold
33,3,3,0,SB_RFI,raise
33,3,3,0,BB_vs_RFI,fold
33,3,3,0,SB_vs_3bet,fold
32s,3,2,1,SB_RFI,raise
32s,3,2,1,BB_vs_RFI,fold
32s,3,2,1,SB_vs_3bet,fold
32o,3,2,0,SB_RFI,fold
32o,3,2,0,BB_vs_RFI,fold
32o,3,2,0,SB_vs_3bet,fold
22,2,2,0,SB_RFI,raise
22,2,2,0,BB_vs_RFI,fold
22,2,2,0,SB_vs_3bet,fold
